# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
#
#
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 391:         6.197       51.498      19.50  ARCEN
# 370:         5.377       51.451      22.60  EINDHOVEN
# 331:         4.193       51.480       0.00  THOLEN
# 315:         3.998       51.447       0.00  HANSWEERT
# 324:         4.006       51.596       0.00  STAVENISSE
# 375:         5.707       51.659      22.00  VOLKEL
# 380:         5.762       50.906     114.30  MAASTRICHT
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 286:         7.150       53.196      -0.20  NIEUW BEERTA
# 310:         3.596       51.442       8.00  VLISSINGEN
# 283:         6.657       52.069      29.10  HUPSEL
# 280:         6.585       53.125       5.20  EELDE
# 273:         5.888       52.703      -3.30  MARKNESSE
# 323:         3.884       51.527       1.40  WILHELMINADORP
# 249:         4.979       52.644      -2.40  BERKHOUT
# 377:         5.763       51.198      30.00  ELL
# 316:         3.694       51.657       0.00  SCHAAR
# 313:         3.242       51.505       0.00  VLAKTE V.D. RAAN
# 277:         6.200       53.413       2.90  LAUWERSOOG
# 348:         4.926       51.970      -0.70  CABAUW
# 308:         3.379       51.381       0.00  CADZAND
# 319:         3.861       51.226       1.70  WESTDORPE
# 215:         4.437       52.141      -1.10  VOORSCHOTEN
# 278:         6.259       52.435       3.60  HEINO
# 285:         6.399       53.575       0.00  HUIBERTGAT
# 343:         4.313       51.893       3.50  R'DAM-GEULHAVEN
# 225:         4.555       52.463       4.40  IJMUIDEN
# 330:         4.122       51.992      11.90  HOEK VAN HOLLAND
# 267:         5.384       52.898      -1.30  STAVOREN
# 269:         5.520       52.458      -3.70  LELYSTAD
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 275:         5.873       52.056      48.20  DEELEN
# 235:         4.781       52.928       1.20  DE KOOY
# 257:         4.603       52.506       8.50  WIJK AAN ZEE
# 290:         6.891       52.274      34.80  TWENTHE
# 350:         4.936       51.566      14.90  GILZE-RIJEN
# 251:         5.346       53.392       0.70  HOORN (TERSCHELLING)
# 210:         4.430       52.171      -0.20  VALKENBURG
# 248:         5.174       52.634       0.80  WIJDENES
# 279:         6.574       52.750      15.80  HOOGEVEEN
# 258:         5.401       52.649       7.30  HOUTRIBDIJK
# 356:         5.146       51.859       0.70  HERWIJNEN
# 209:         4.518       52.465       0.00  IJMOND
# 265:         5.274       52.130      13.90  SOESTERBERG
# 312:         3.622       51.768       0.00  OOSTERSCHELDE
# 340:         4.342       51.449      19.20  WOENSDRECHT
# 260:         5.180       52.100       1.90  DE BILT
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 311:         3.672       51.379       0.00  HOOFDPLAAT
# 242:         4.921       53.241      10.80  VLIELAND
#
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag);
# FG       = Etmaalgemiddelde windsnelheid (in 0.1 m/s);
# FHX      = Hoogste uurgemiddelde windsnelheid (in 0.1 m/s);
# FHXH     = Uurvak waarin FHX is gemeten;
# FHN      = Laagste uurgemiddelde windsnelheid (in 0.1 m/s);
# FHNH     = Uurvak waarin FHN is gemeten;
# FXX      = Hoogste windstoot (in 0.1 m/s);
# FXXH     = Uurvak waarin FXX is gemeten;
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius);
# TN       = Minimum temperatuur (in 0.1 graden Celsius);
# TNH      = Uurvak waarin TN is gemeten;
#
  STN,YYYYMMDD,   FG,  FHX, FHXH,  FHN, FHNH,  FXX, FXXH,   TG,   TN,  TNH
#
  391,20181101,   26,   40,    4,   20,    8,   60,    1,   99,   83,    7
  391,20181102,   21,   40,    1,    0,   18,  100,    3,   74,   15,   24
  391,20181103,   11,   20,    8,    0,   18,   50,   14,   31,  -13,   23
  391,20181104,   18,   30,   12,   10,    2,   60,   14,   66,  -19,    4
  391,20181105,   18,   30,   13,   10,    3,   50,    9,   85,   59,    5
  391,20181106,   21,   40,   12,   10,    1,   70,   13,  117,   55,    2
  391,20181107,   29,   50,   11,   10,    1,  100,   13,  117,   84,    1
  391,20181108,   19,   30,    1,   10,   13,   50,    1,   92,   38,   19
  391,20181109,   23,   30,   10,   10,    8,   60,   23,  102,   69,    5
  391,20181110,   35,   50,    7,   30,    1,  100,    7,  125,  106,    1
  391,20181111,   37,   60,   11,   10,   19,  120,   11,  122,  108,    7
  391,20181112,   14,   20,    1,   10,    3,   50,   23,  105,   90,   23
  391,20181113,   33,   60,   10,   20,    1,  120,   13,  100,   72,   24
  391,20181114,   20,   30,   15,   10,    8,   50,   11,   80,   47,    8
  391,20181115,   29,   30,    3,   20,    1,   70,   19,   67,   44,   23
  391,20181116,   22,   40,   12,   10,    8,   80,   13,   57,    6,    8
  391,20181117,   33,   50,   14,   20,    1,   90,   15,   43,    5,   24
  391,20181118,   38,   50,   11,   30,    1,  100,   13,   26,   -5,    8
  391,20181119,   49,   70,   19,   10,    3,  130,   19,   46,   24,    3
  370,20181101,   34,   50,   22,   20,    1,   90,   24,  103,   76,    6
  370,20181102,   36,   60,    1,   10,   24,  100,    1,   73,   12,   24
  370,20181103,   17,   30,   15,   10,    1,   50,   15,   40,  -13,    7
  370,20181104,   22,   30,    9,   10,    2,   60,   22,   67,   -7,    7
  370,20181105,   23,   30,    4,   10,   19,   50,    5,   91,   52,    3
  370,20181106,   26,   40,   15,   20,    1,   60,   12,  122,   62,    1
  370,20181107,   42,   60,   10,   30,    1,   90,    9,  114,   87,    7
  370,20181108,   30,   50,    1,   10,   17,   80,    1,   95,   39,   19
  370,20181109,   25,   40,   11,   20,    1,   60,   10,   95,   57,    8
  370,20181110,   48,   60,    6,   40,    1,  120,    6,  119,   93,    1
  370,20181111,   48,   70,   16,   20,   23,  130,   15,  116,   98,   24
  370,20181112,   22,   40,   24,   10,    8,   60,   23,  101,   87,   23
  370,20181113,   48,   80,   12,   30,    1,  140,   12,   98,   67,   24
  370,20181114,   24,   30,    1,   20,    2,   60,   13,   79,   45,    7
  370,20181115,   27,   30,    2,   20,    1,   50,    2,   67,   21,   24
  370,20181116,   23,   40,   11,   10,    7,   80,   22,   50,  -11,    8
  370,20181117,   40,   50,   11,   30,    1,  100,   11,   55,   25,   24
  370,20181118,   45,   60,   12,   30,    1,  100,   14,   26,   -1,   22
  370,20181119,   67,   90,   23,   40,    1,  140,   14,   45,   13,    1
  331,20181101,   69,   80,    1,   50,   15,  120,   24,     ,     ,
  331,20181102,   57,   80,    1,   40,   17,  110,    1,     ,     ,
  331,20181103,   43,   50,    8,   30,    6,   70,   12,     ,     ,
  331,20181104,   38,   50,    7,   10,   13,   70,    7,     ,     ,
  331,20181105,   38,   50,    3,   20,   11,   60,    1,     ,     ,
  331,20181106,   57,   80,   24,   20,    4,  110,   24,     ,     ,
  331,20181107,   90,  110,    9,   60,    2,  160,   14,     ,     ,
  331,20181108,   54,   80,    1,   40,   15,  110,    1,     ,     ,
  331,20181109,   58,  100,   24,   30,   10,  120,   21,     ,     ,
  331,20181110,   85,  110,    7,   60,   15,  150,    3,     ,     ,
  331,20181111,   79,  110,   10,   40,   19,  150,   11,     ,     ,
  331,20181112,   50,   80,   24,   30,    8,  100,   24,     ,     ,
  331,20181113,   77,  110,   11,   50,   20,  130,    8,     ,     ,
  331,20181114,   52,   60,    1,   30,   24,   80,    4,     ,     ,
  331,20181115,   38,   50,    3,   20,   15,   60,    2,     ,     ,
  331,20181116,   31,   50,   16,   20,    1,   70,   16,     ,     ,
  331,20181117,   69,   80,    8,   40,    1,  120,   16,     ,     ,
  331,20181118,   73,   90,   18,   40,   11,  130,   18,     ,     ,
